Rk,Player,Age,Tm,Pos,GP▼,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
45,Jeff Petry\petryje01,31,MTL,D,82,16,0.16,0.40,0.56,0.19,0.34,2.10,13,33,46,16,102,16,111,20,-5,76.0,68.1,8.0,3.6,3.2,6.8,0,,,
46,Darnell Nurse\nurseda01,23,EDM,D,82,14,0.12,0.38,0.50,0.17,1.06,2.39,10,31,41,14,103,23,111,26,-5,68.1,71.8,-3.7,2.8,3.8,6.6,0,,,
47,Rasmus Dahlin\dahlira01,18,BUF,D,82,14,0.11,0.43,0.54,0.17,0.41,2.16,9,35,44,14,95,28,81,1,-13,67.9,62.7,5.2,3.2,3.4,6.6,0,,,
48,Ryan Nugent-Hopkins\nugenry01,25,EDM,C,82,26,0.34,0.50,0.84,0.32,0.32,2.54,28,41,69,26,103,41,97,22,-13,51.9,52.8,-0.9,5.2,1.4,6.6,6,3,3,50.0
49,Anders Lee\leean01,28,NYI,C,82,22,0.34,0.28,0.62,0.26,0.71,2.49,28,23,51,22,86,24,42,0,20,58.8,50.3,8.5,4.1,2.4,6.5,0,,,
50,Brendan Gallagher\gallabr01,26,MTL,RW,82,23,0.40,0.23,0.63,0.28,0.60,3.68,33,19,52,23,81,16,56,0,10,62.9,46.5,16.4,4.7,1.8,6.5,0,,,
51,Miro Heiskanen\heiskmi01,19,DAL,D,82,12,0.15,0.26,0.40,0.15,0.20,2.22,12,21,33,12,80,14,91,11,-14,78.5,70.1,8.4,2.2,4.3,6.5,2,0,2,0.0
52,Zach Werenski\werenza01,21,CBJ,D,82,15,0.13,0.40,0.54,0.19,0.22,2.05,11,33,44,15,96,20,102,13,-12,71.3,76.6,-5.4,3.4,3.1,6.5,0,,,
53,Brock Nelson\nelsobr01,27,NYI,C,82,21,0.30,0.34,0.65,0.26,0.34,2.21,25,28,53,21,74,16,46,9,20,57.1,52.8,4.3,3.8,2.5,6.3,6,1,5,16.7
54,Jonathan Marchessault\audymjo01,28,VEG,C,82,23,0.30,0.41,0.72,0.28,0.63,3.39,25,34,59,23,94,25,68,0,2,60.8,50.3,10.6,4.5,1.8,6.3,3,0,3,0.0
55,Bo Horvat\horvabo01,23,VAN,C,82,24,0.33,0.41,0.74,0.30,0.40,2.77,27,34,61,24,98,33,76,6,-4,61.9,66.7,-4.8,4.2,2.0,6.2,6,0,6,0.0
56,David Savard\savarda01,28,CBJ,D,82,9,0.10,0.20,0.29,0.11,0.44,1.51,8,16,24,9,76,0,67,11,19,70.7,59.9,10.8,1.3,4.9,6.2,0,,,
57,Josh Anderson\anderjo05,24,CBJ,RW,82,20,0.33,0.24,0.57,0.25,0.73,2.80,27,20,47,20,81,12,55,11,25,57.9,52.6,5.3,3.7,2.5,6.2,0,,,
58,Duncan Keith\keithdu01,35,CHI,D,82,12,0.07,0.41,0.49,0.15,0.85,1.72,6,34,40,13,105,9,114,31,13,72.3,81.9,-9.6,2.3,3.8,6.0,0,,,
59,Jaccob Slavin\slavija01,24,CAR,D,82,11,0.10,0.28,0.38,0.13,0.22,1.78,8,23,31,11,85,13,93,21,0,76.4,61.6,14.8,1.7,4.3,6.0,3,0,3,0.0
60,Sam Reinhart\reinhsa01,23,BUF,C,82,23,0.27,0.52,0.79,0.29,0.20,2.20,22,43,65,24,100,32,79,1,-10,63.1,58.7,4.4,4.4,1.6,6.0,6,3,3,50.0
61,Drew Doughty\doughdr01,29,LAK,D,82,15,0.10,0.45,0.55,0.18,0.54,1.88,8,37,45,14,86,28,128,35,-34,60.7,74.4,-13.7,2.8,2.9,5.7,0,,,
62,William Karlsson\karlswi01,26,VEG,C,82,22,0.29,0.39,0.68,0.27,0.20,2.06,24,32,56,22,85,20,74,10,1,55.3,47.0,8.3,3.9,1.8,5.7,4,1,3,25.0
63,Jakub Vrana\vranaja01,22,WSH,LW,82,19,0.29,0.28,0.57,0.23,0.33,1.96,24,23,47,19,67,5,41,0,20,42.9,45.2,-2.3,3.8,1.8,5.6,1,1,0,100.0
64,Mathew Barzal\barzama01,21,NYI,C,82,22,0.22,0.54,0.76,0.27,0.56,2.18,18,44,62,22,75,23,58,2,-5,63.0,53.3,9.7,4.0,1.6,5.6,9,2,7,22.2
65,Nino Niederreiter\niedeni01,26,TOT,RW,82,21,0.28,0.37,0.65,0.25,0.37,2.24,23,30,53,21,83,26,61,0,-4,56.1,43.6,12.5,4.0,1.6,5.6,0,,,
66,Damon Severson\severda01,24,NJD,D,82,14,0.13,0.34,0.48,0.17,0.71,1.78,11,28,39,14,85,19,106,13,-27,60.9,67.4,-6.5,2.9,2.4,5.4,2,1,1,50.0
67,Josh Bailey\bailejo01,29,NYI,C,82,20,0.20,0.49,0.68,0.24,0.26,1.54,16,40,56,20,77,19,50,0,8,56.1,50.7,5.4,3.4,2.0,5.4,9,3,6,33.3
68,Brandon Montour\montobr01,24,TOT,D,82,12,0.10,0.33,0.43,0.14,0.68,2.21,8,27,35,12,68,8,95,15,-20,65.8,75.5,-9.6,2.1,3.2,5.3,0,,,
69,Justin Williams\williju01,37,CAR,RW,82,21,0.28,0.37,0.65,0.25,0.54,2.89,23,30,53,21,87,29,62,0,-4,65.6,41.8,23.8,3.8,1.6,5.3,2,0,2,0.0
70,Travis Sanheim\sanhetr01,22,PHI,D,82,12,0.11,0.32,0.43,0.14,0.27,1.48,9,26,35,12,78,6,84,8,-4,65.1,61.3,3.7,2.4,2.9,5.3,0,,,
71,Kevin Labanc\labanke01,23,SJS,RW,82,20,0.21,0.48,0.68,0.24,0.44,1.59,17,39,56,20,79,28,52,1,-1,43.0,39.8,3.2,4.0,1.0,5.1,0,,,
72,Nick Leddy\leddyni01,27,NYI,D,82,8,0.05,0.27,0.32,0.10,0.22,1.41,4,22,26,8,86,19,68,2,0,63.8,70.2,-6.4,0.9,4.1,5.0,0,,,
73,Samuel Girard\girarsa01,20,COL,D,82,8,0.05,0.28,0.33,0.10,0.07,1.41,4,23,27,8,85,21,58,2,8,62.6,65.9,-3.3,1.2,3.7,4.9,0,,,
74,Travis Konecny\konectr01,21,PHI,C,82,20,0.29,0.30,0.60,0.24,0.49,2.22,24,25,49,20,68,13,60,0,-4,46.3,53.2,-6.9,3.8,1.2,4.9,1,0,1,0.0
75,Carl Soderberg\soderca01,33,COL,C,82,20,0.28,0.32,0.60,0.24,0.32,2.29,23,26,49,20,70,14,83,22,-5,49.5,48.3,1.2,3.3,1.4,4.7,1,1,0,100.0
76,Patrik Laine\lainepa01,20,WPG,RW,82,22,0.37,0.24,0.61,0.26,0.51,2.99,30,20,50,22,96,46,74,0,-24,42.6,52.9,-10.3,4.1,0.6,4.7,3,2,1,66.7
77,Andy Greene\greenan01,36,NJD,D,82,8,0.06,0.24,0.30,0.10,0.20,1.27,5,20,25,8,67,2,106,32,-9,55.1,64.8,-9.7,1.0,3.6,4.6,0,,,
78,Brenden Dillon\dillobr01,28,SJS,D,82,6,0.01,0.26,0.27,0.07,0.74,0.87,1,21,22,6,72,0,59,7,19,67.8,50.3,17.5,0.5,4.0,4.5,0,,,
79,Anthony Cirelli\cirelan01,21,TBL,C,82,16,0.23,0.24,0.48,0.19,0.41,1.50,19,20,39,16,66,4,56,19,25,47.9,36.2,11.7,2.4,2.0,4.4,1,0,1,0.0
80,Alex Killorn\killoal01,29,TBL,C/LW,82,16,0.22,0.27,0.49,0.19,0.55,1.87,18,22,40,16,69,13,49,15,22,46.4,35.7,10.7,2.4,1.9,4.3,0,,,
81,Niklas Hjalmarsson\hjalmni01,31,ARI,D,82,3,0.00,0.12,0.12,0.03,0.54,0.70,0,10,10,3,62,1,74,21,8,50.9,48.6,2.4,-0.9,5.2,4.2,0,,,
82,Adam Henrique\henriad01,28,ANA,C,82,16,0.22,0.29,0.51,0.20,0.29,1.49,18,24,42,16,68,23,60,10,-5,41.9,43.2,-1.2,2.3,1.6,4.0,0,,,
83,Dmitry Orlov\orlovdm01,27,WSH,D,82,9,0.04,0.32,0.35,0.10,0.40,1.23,3,26,29,9,79,2,86,13,3,59.5,72.3,-12.8,1.0,3.0,4.0,0,,,
84,Andrei Svechnikov\svechan01,18,CAR,RW,82,16,0.24,0.21,0.45,0.19,0.76,2.30,20,17,37,16,62,15,47,0,0,57.2,38.0,19.2,2.5,1.4,3.9,0,,,
85,Ivan Provorov\provoiv01,22,PHI,D,82,9,0.09,0.23,0.32,0.11,0.39,1.77,7,19,26,9,90,7,129,30,-16,70.1,71.4,-1.3,0.8,2.9,3.7,0,,,
86,Jonas Brodin\brodijo01,25,MIN,D,82,6,0.05,0.17,0.22,0.07,0.37,1.35,4,14,18,6,49,3,75,15,-15,59.9,53.1,6.8,0.1,3.6,3.7,0,,,
87,Clayton Keller\kellecl01,20,ARI,C,82,17,0.17,0.40,0.57,0.21,0.29,2.44,14,33,47,17,73,27,69,2,-21,48.5,54.7,-6.2,2.2,1.4,3.6,4,0,4,0.0
88,Robert Hagg\haggro01,23,PHI,D,82,7,0.06,0.18,0.24,0.08,0.77,1.05,5,15,20,7,58,0,81,20,-3,45.8,61.8,-16.0,0.8,2.5,3.3,0,,,
89,Dominik Kahun\kahundo01,23,CHI,C,82,13,0.16,0.29,0.45,0.16,0.07,1.67,13,24,37,14,59,5,45,1,10,52.9,53.8,-0.9,1.7,1.4,3.1,0,,,
90,Bryan Little\littlbr01,31,WPG,RW,82,15,0.18,0.32,0.50,0.18,0.32,1.54,15,26,41,15,66,16,76,14,-12,43.4,50.8,-7.4,2.0,0.9,2.9,1,0,1,0.0
91,Mathieu Perreault\perrema01,31,WPG,C,82,12,0.18,0.18,0.37,0.15,0.54,1.16,15,15,30,12,50,15,36,0,-1,35.2,32.4,2.8,1.7,1.0,2.7,1,0,1,0.0
92,Patrick Marleau\marlepa01,39,TOR,C,82,14,0.20,0.26,0.45,0.18,0.34,1.96,16,21,37,14,74,17,64,1,-6,58.5,56.1,2.4,1.6,0.9,2.5,0,,,
93,Alex Iafallo\iafalal01,25,LAK,C,82,13,0.18,0.22,0.40,0.16,0.27,1.80,15,18,33,13,56,9,68,4,-17,41.8,54.6,-12.8,1.0,1.2,2.3,3,0,3,0.0
94,Artturi Lehkonen\lehkoar01,23,MTL,LW,82,11,0.13,0.24,0.38,0.14,0.39,2.15,11,20,31,11,58,2,64,18,10,53.1,42.9,10.1,0.6,1.7,2.3,0,,,
95,Brock McGinn\mcginbr01,24,CAR,LW,82,10,0.12,0.20,0.32,0.12,0.24,1.50,10,16,26,10,47,1,53,17,10,35.3,34.1,1.1,0.4,1.8,2.2,3,1,2,33.3
96,Jordan Martinook\martijo01,26,CAR,LW,82,11,0.18,0.12,0.30,0.13,0.46,1.78,15,10,25,11,49,0,64,16,1,52.3,38.1,14.3,0.8,1.5,2.2,0,,,
97,Tyler Toffoli\toffoty01,26,LAK,C,82,13,0.16,0.26,0.41,0.16,0.28,2.76,13,21,34,13,60,15,76,15,-16,51.4,42.6,8.8,0.9,1.3,2.2,1,1,0,100.0
98,Leo Komarov\komarle01,32,NYI,C,82,9,0.07,0.24,0.32,0.11,0.51,0.95,6,20,26,9,47,0,38,9,18,34.6,44.0,-9.3,0.1,2.1,2.1,1,0,1,0.0
99,Connor Brown\brownco02,25,TOR,RW,82,10,0.10,0.26,0.35,0.12,0.20,1.04,8,21,29,10,43,2,46,16,11,33.4,40.0,-6.5,0.6,1.4,2.0,0,,,
100,Scott Laughton\laughsc01,24,PHI,C,82,12,0.15,0.24,0.39,0.14,0.65,1.59,12,20,32,12,48,0,89,30,-11,41.3,44.9,-3.7,1.0,0.9,1.9,0,,,
101,Adam Larsson\larssad01,26,EDM,D,82,6,0.04,0.21,0.24,0.08,0.54,1.43,3,17,20,6,54,1,107,26,-28,62.4,69.6,-7.1,0.2,1.7,1.8,0,,,
102,Jack Johnson\johnsja02,32,PIT,D,82,4,0.01,0.15,0.16,0.05,0.50,1.05,1,12,13,4,63,4,86,23,-4,56.8,65.0,-8.1,-0.5,2.3,1.8,0,,,
103,Matt Calvert\calvema01,29,COL,LW,82,10,0.13,0.18,0.32,0.12,0.71,1.72,11,15,26,10,42,3,75,25,-10,44.9,41.4,3.5,0.5,0.9,1.4,0,,,
104,Marcus Foligno\foligma01,27,MIN,LW,82,7,0.09,0.15,0.23,0.09,0.67,1.11,7,12,19,7,29,1,41,12,-1,33.5,23.2,10.3,-0.1,1.4,1.2,0,,,
105,Barclay Goodrow\goodrba01,25,SJS,RW,82,6,0.09,0.12,0.21,0.08,0.93,1.02,7,10,17,7,34,0,46,16,4,25.6,26.8,-1.3,-0.1,1.0,0.9,0,,,
106,Riley Sheahan\sheahri01,27,TOT,C,82,8,0.11,0.12,0.23,0.09,0.21,1.34,9,10,19,8,34,0,61,18,-9,35.1,38.5,-3.4,-0.3,0.9,0.6,0,,,
107,Patrick Kane\kanepa01,30,CHI,RW,81,41,0.54,0.81,1.36,0.51,0.27,4.21,45,66,111,43,142,42,98,0,2,68.6,83.3,-14.7,10.2,1.6,11.8,4,2,2,50.0
