Rk,Player,Tm,Pos,Shift,GP▼,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
54,Jonathan Toews\toewsjo01,CHI,C,0:40,82,,16:00,2.5,3.7,3.6,,3:16,4.8,8.9,1.1,,1:44,1.6,1.7,12.2
55,Jordan Martinook\martijo01,CAR,LW,0:36,82,,12:46,0.2,2.7,2.7,,0:05,12.8,0.0,0.0,,1:37,1.7,0.9,7.3
56,Josh Anderson\anderjo05,CBJ,RW,0:37,82,,14:18,-0.4,3.4,2.1,,1:22,2.4,6.4,1.1,,1:20,1.4,1.6,6.0
57,Josh Bailey\bailejo01,NYI,C,0:41,82,,14:20,0.7,2.9,2.6,,2:27,2.2,5.6,0.0,,0:02,23.7,20.9,0.0
58,Justin Faulk\faulkju01,CAR,D,0:47,82,,17:45,-2.1,2.9,2.4,,2:56,5.4,7.7,1.5,,1:43,-1.4,1.3,5.9
59,Justin Williams\williju01,CAR,RW,0:37,82,,14:43,4.8,2.9,2.7,,2:42,2.0,7.9,1.9,,0:01,-17.3,0.0,0.0
60,Keith Yandle\yandlke01,FLA,D,0:38,82,,18:30,1.4,3.0,3.4,,3:33,2.2,10.7,1.6,,0:22,1.9,0.0,9.5
61,Kevin Labanc\labanke01,SJS,RW,0:41,82,,11:41,1.8,3.2,3.0,,2:19,5.7,8.8,0.9,,0:00,-16.4,0.0,17.5
62,Kyle Connor\connoky01,WPG,LW,0:47,82,,15:04,0.3,3.5,3.6,,3:29,3.7,9.7,0.8,,0:40,2.5,1.1,4.3
63,Leo Komarov\komarle01,NYI,C,0:40,82,,12:05,-4.7,2.8,1.8,,0:04,-20.5,0.0,0.0,,1:44,1.6,0.4,3.8
64,Leon Draisaitl\draisle01,EDM,C,0:45,82,,18:05,1.5,3.8,3.6,,3:20,6.8,9.6,1.1,,1:09,9.2,1.9,8.9
65,Marcus Foligno\foligma01,MIN,LW,0:42,82,,10:07,1.5,1.9,2.1,,0:02,-19.8,5.7,0.0,,1:48,2.8,0.8,4.9
66,Mark Scheifele\scheima01,WPG,C,0:47,82,,17:07,-0.9,3.4,3.0,,3:35,0.8,9.4,1.0,,1:08,5.1,2.6,10.9
67,Mathew Barzal\barzama01,NYI,C,0:47,82,,14:54,6.3,2.6,2.7,,2:56,0.2,5.6,0.2,,0:04,23.8,0.0,21.6
68,Mathieu Perreault\perrema01,WPG,C,0:43,82,,10:50,4.5,2.4,2.3,,1:22,-4.0,8.0,1.1,,0:00,,0.0,0.0
